date,uniquekey,Complaint Type
8/18/2020,29,Noise - Park
8/18/2020,103,Noise - Commercial
8/18/2020,1,Noise - House of Worship
8/17/2020,246,Noise - Vehicle
8/17/2020,1396,Noise - Residential
8/17/2020,1,Noise - House of Worship
8/17/2020,109,Noise - Commercial
8/17/2020,30,Noise - Park
8/17/2020,502,Noise - Street/Sidewalk
8/17/2020,119,Noise
8/17/2020,23,Noise - Helicopter
8/16/2020,1,Noise - House of Worship
8/16/2020,1572,Noise - Street/Sidewalk
8/16/2020,41,Noise
8/16/2020,3,Noise - Helicopter
8/16/2020,52,Noise - Park
8/16/2020,170,Noise - Commercial
8/16/2020,510,Noise - Vehicle
8/16/2020,2094,Noise - Residential
8/15/2020,2,Noise - House of Worship
8/15/2020,301,Noise - Commercial
8/15/2020,90,Noise - Park
8/15/2020,1915,Noise - Street/Sidewalk
8/15/2020,93,Noise
8/15/2020,13,Noise - Helicopter
8/15/2020,615,Noise - Vehicle
8/15/2020,2940,Noise - Residential
8/14/2020,171,Noise - Commercial
8/14/2020,1010,Noise - Street/Sidewalk
8/14/2020,99,Noise
8/14/2020,5,Noise - Helicopter
8/14/2020,51,Noise - Park
8/14/2020,413,Noise - Vehicle
8/14/2020,798,Noise - Residential
8/13/2020,1117,Noise - Residential
8/13/2020,224,Noise - Vehicle
8/13/2020,123,Noise
8/13/2020,9,Noise - Helicopter
8/13/2020,526,Noise - Street/Sidewalk
8/13/2020,15,Noise - Park
8/13/2020,101,Noise - Commercial
8/12/2020,208,Noise - Vehicle
8/12/2020,764,Noise - Residential
8/12/2020,68,Noise - Commercial
8/12/2020,108,Noise
8/12/2020,12,Noise - Helicopter
8/12/2020,412,Noise - Street/Sidewalk
8/12/2020,35,Noise - Park
8/11/2020,81,Noise - Commercial
8/11/2020,119,Noise
8/11/2020,25,Noise - Helicopter
8/11/2020,521,Noise - Street/Sidewalk
8/11/2020,19,Noise - Park
8/11/2020,959,Noise - Residential
8/11/2020,231,Noise - Vehicle
8/10/2020,299,Noise - Vehicle
8/10/2020,2026,Noise - Residential
8/10/2020,97,Noise - Commercial
8/10/2020,12,Noise - Helicopter
8/10/2020,96,Noise
8/10/2020,765,Noise - Street/Sidewalk
8/10/2020,39,Noise - Park
8/9/2020,3672,Noise - Residential
8/9/2020,608,Noise - Vehicle
8/9/2020,245,Noise - Commercial
8/9/2020,17,Noise - Helicopter
8/9/2020,64,Noise
8/9/2020,2157,Noise - Street/Sidewalk
8/9/2020,122,Noise - Park
8/9/2020,1,Noise - House of Worship
8/8/2020,526,Noise - Vehicle
8/8/2020,3357,Noise - Residential
8/8/2020,3,Noise - House of Worship
8/8/2020,91,Noise - Park
8/8/2020,127,Noise
8/8/2020,17,Noise - Helicopter
8/8/2020,1728,Noise - Street/Sidewalk
8/8/2020,314,Noise - Commercial
